STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,S1,Total economy,S1,Total economy,P5,Gross capital formation,N1G,"Produced non-financial assets, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1986,,50090.321,,,,F,Free (free for publication),1,One,E,Estimated value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,_Z,Not applicable,S1,Total economy,YA0,Statistical discrepancy (expenditure approach),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2011,,0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,_Z,Not applicable,S1,Total economy,YA0,Statistical discrepancy (expenditure approach),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2012,,0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,_Z,Not applicable,S1,Total economy,YA0,Statistical discrepancy (expenditure approach),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2018,,0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,S1,Total economy,S1,Total economy,P5M,Changes in inventories and acquisitions less disposals of valuables,N1MG,"Inventories and valuables, gross",_T,Total - all activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,1982,,-4056.899,,,,F,Free (free for publication),1,One,E,Estimated value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,_Z,Not applicable,S1,Total economy,YA0,Statistical discrepancy (expenditure approach),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2000,,0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,_Z,Not applicable,S1,Total economy,YA0,Statistical discrepancy (expenditure approach),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2001,,0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,_Z,Not applicable,S1,Total economy,YA0,Statistical discrepancy (expenditure approach),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2002,,0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,_Z,Not applicable,S1,Total economy,YA0,Statistical discrepancy (expenditure approach),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2003,,0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE(2.0),Annual GDP and components - expenditure approach,I,A,Annual,NLD,Netherlands,_Z,Not applicable,S1,Total economy,YA0,Statistical discrepancy (expenditure approach),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0102,Table 0102 - GDP identity from the expenditure side,2004,,0,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
